Loop,Nand Write,Host Write,WAF
100,5726,5726,1.000000
200,5826,5826,1.000000
300,5926,5926,1.000000
400,6026,6026,1.000000
500,6126,6126,1.000000
600,6226,6226,1.000000
700,6326,6326,1.000000
800,6426,6426,1.000000
900,6526,6526,1.000000
1000,6626,6626,1.000000
1100,6726,6726,1.000000
1200,6826,6826,1.000000
1300,6926,6926,1.000000
1400,7026,7026,1.000000
1500,7126,7126,1.000000
1600,7226,7226,1.000000
1700,7326,7326,1.000000
1800,7426,7426,1.000000
1900,7526,7526,1.000000
2000,7626,7626,1.000000
2100,7726,7726,1.000000
2200,7826,7826,1.000000
2300,7926,7926,1.000000
2400,8026,8026,1.000000
2500,8126,8126,1.000000
2600,8226,8226,1.000000
2700,8326,8326,1.000000
2800,8426,8426,1.000000
2900,8526,8526,1.000000
3000,8626,8626,1.000000
3100,8726,8726,1.000000
3200,8826,8826,1.000000
3300,8926,8926,1.000000
3400,9026,9026,1.000000
3500,9126,9126,1.000000
3600,9226,9226,1.000000
3700,9326,9326,1.000000
3800,9426,9426,1.000000
3900,9526,9526,1.000000
4000,9626,9626,1.000000
4100,9726,9726,1.000000
4200,9826,9826,1.000000
4300,9926,9926,1.000000
4400,10026,10026,1.000000
4500,10126,10126,1.000000
4600,10226,10226,1.000000
4700,10326,10326,1.000000
4800,10426,10426,1.000000
4900,10526,10526,1.000000
5000,10626,10626,1.000000
5100,10726,10726,1.000000
5200,10826,10826,1.000000
5300,10926,10926,1.000000
5400,11026,11026,1.000000
5500,11126,11126,1.000000
5600,11226,11226,1.000000
5700,11326,11326,1.000000
5800,11426,11426,1.000000
5900,11526,11526,1.000000
6000,11626,11626,1.000000
6100,11726,11726,1.000000
6200,11826,11826,1.000000
6300,11926,11926,1.000000
6400,12026,12026,1.000000
6500,12126,12126,1.000000
6600,12226,12226,1.000000
6700,12326,12326,1.000000
6800,12426,12426,1.000000
6900,12526,12526,1.000000
7000,12626,12626,1.000000
7100,12726,12726,1.000000
7200,12826,12826,1.000000
7300,12926,12926,1.000000
7400,13026,13026,1.000000
7500,13126,13126,1.000000
7600,13226,13226,1.000000
7700,13326,13326,1.000000
7800,13426,13426,1.000000
7900,13526,13526,1.000000
8000,13626,13626,1.000000
8100,13726,13726,1.000000
8200,13826,13826,1.000000
8300,13926,13926,1.000000
8400,14026,14026,1.000000
8500,14126,14126,1.000000
8600,14226,14226,1.000000
8700,14326,14326,1.000000
8800,14426,14426,1.000000
8900,14526,14526,1.000000
9000,14626,14626,1.000000
9100,14726,14726,1.000000
9200,14826,14826,1.000000
9300,14926,14926,1.000000
9400,15026,15026,1.000000
9500,15126,15126,1.000000
9600,15226,15226,1.000000
9700,15326,15326,1.000000
9800,15426,15426,1.000000
9900,15526,15526,1.000000
10000,15626,15626,1.000000
10100,15726,15726,1.000000
10200,15826,15826,1.000000
10300,15926,15926,1.000000
10400,16026,16026,1.000000
