Loop,Nand Write,Host Write,WAF
100,56351,56351,1.000000
200,56451,56451,1.000000
300,56551,56551,1.000000
400,56651,56651,1.000000
500,56751,56751,1.000000
600,56851,56851,1.000000
700,56951,56951,1.000000
800,57051,57051,1.000000
900,57151,57151,1.000000
1000,57251,57251,1.000000
1100,57351,57351,1.000000
1200,57451,57451,1.000000
1300,57551,57551,1.000000
1400,57651,57651,1.000000
1500,57751,57751,1.000000
1600,57851,57851,1.000000
1700,57951,57951,1.000000
1800,58051,58051,1.000000
1900,58151,58151,1.000000
2000,58251,58251,1.000000
2100,58351,58351,1.000000
2200,58451,58451,1.000000
2300,58551,58551,1.000000
2400,58651,58651,1.000000
2500,58751,58751,1.000000
2600,58851,58851,1.000000
2700,58951,58951,1.000000
2800,59051,59051,1.000000
2900,59151,59151,1.000000
3000,59251,59251,1.000000
3100,59351,59351,1.000000
3200,59451,59451,1.000000
3300,59551,59551,1.000000
3400,59651,59651,1.000000
3500,59751,59751,1.000000
3600,59851,59851,1.000000
3700,59951,59951,1.000000
3800,60051,60051,1.000000
3900,60151,60151,1.000000
4000,60251,60251,1.000000
4100,60351,60351,1.000000
4200,60451,60451,1.000000
4300,60551,60551,1.000000
4400,60651,60651,1.000000
4500,60751,60751,1.000000
4600,60851,60851,1.000000
4700,60951,60951,1.000000
4800,61051,61051,1.000000
4900,61151,61151,1.000000
5000,61251,61251,1.000000
5100,61351,61351,1.000000
5200,61451,61451,1.000000
5300,61551,61551,1.000000
5400,61651,61651,1.000000
5500,61751,61751,1.000000
5600,61851,61851,1.000000
5700,61951,61951,1.000000
5800,62051,62051,1.000000
5900,62151,62151,1.000000
6000,62251,62251,1.000000
6100,62351,62351,1.000000
6200,62451,62451,1.000000
6300,62551,62551,1.000000
6400,62651,62651,1.000000
6500,62751,62751,1.000000
6600,62851,62851,1.000000
6700,62951,62951,1.000000
6800,63051,63051,1.000000
6900,63151,63151,1.000000
7000,63251,63251,1.000000
7100,63351,63351,1.000000
7200,63451,63451,1.000000
7300,63551,63551,1.000000
7400,63651,63651,1.000000
7500,63751,63751,1.000000
7600,63851,63851,1.000000
7700,63951,63951,1.000000
7800,64051,64051,1.000000
7900,64151,64151,1.000000
8000,64251,64251,1.000000
8100,64351,64351,1.000000
8200,64451,64451,1.000000
8300,64551,64551,1.000000
8400,64651,64651,1.000000
8500,64751,64751,1.000000
8600,64851,64851,1.000000
8700,64951,64951,1.000000
8800,65051,65051,1.000000
8900,65151,65151,1.000000
9000,65251,65251,1.000000
9100,65351,65351,1.000000
9200,65451,65451,1.000000
9300,65551,65551,1.000000
9400,65651,65651,1.000000
9500,65751,65751,1.000000
9600,65851,65851,1.000000
9700,65951,65951,1.000000
9800,66051,66051,1.000000
9900,66151,66151,1.000000
10000,66251,66251,1.000000
10100,66351,66351,1.000000
10200,66451,66451,1.000000
10300,66551,66551,1.000000
10400,66651,66651,1.000000
10500,66751,66751,1.000000
10600,66851,66851,1.000000
10700,66951,66951,1.000000
